pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969094	ERS5446126	Coronahit routine	-	LR963177	NORW-EC617	-	975b59b05c29e1c4608420581ab10bb2e91787d06a0bed710e4056051bd59f5d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a217a3c07fb8451a2a28edb8a670718d39ae0ecc66205ec17ee314a04f15c46b	NORW-EC617_ARTIC_LoCost	FALSE
ERR4970129	ERS5446126	Coronahit routine	-	LR963177	NORW-EC617	-	c3d8fddfa91625958270575f8c3f104046ce4c1bb57d64a0c3f9e321bb9d2c34	2b06e2dcf02a5dbf6a28a0638aa458572a277b76b7eeefedaa580d99decc9199	a217a3c07fb8451a2a28edb8a670718d39ae0ecc66205ec17ee314a04f15c46b	NORW-EC617_CoronaHiT-Illumina	FALSE
ERR4968956	ERS5446126	Coronahit routine	-	LR963177	NORW-EC617	-	5787b874eea83b63395f50038a9371d3449f25c478f2f0c4dd711ce988b01b88	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a217a3c07fb8451a2a28edb8a670718d39ae0ecc66205ec17ee314a04f15c46b	NORW-EC617_CoronaHiT-ONT	FALSE
ERR4969107	ERS5446102	Coronahit routine	-	LR963232	NORW-EC626	-	566c6725fdb08b18a4e4f89a5d7c6ca4a62dc6190d322b8c5b1c4ba8ff3dc5f9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bb233c0e2d73d24ae253ded92bbda6dea8f45ec83b09b19e4b7f8c91fcf4de99	NORW-EC626_ARTIC_LoCost	FALSE
ERR4970105	ERS5446102	Coronahit routine	-	LR963232	NORW-EC626	-	29ced6dfe8ea85ebd84192fd6724b7aa3c78b5e07e8bb0dddca11a1701bc9925	77dbe68122947c9251e702723f1b5e04fcd718cf6dd43167401979a20a10b7f2	bb233c0e2d73d24ae253ded92bbda6dea8f45ec83b09b19e4b7f8c91fcf4de99	NORW-EC626_CoronaHiT-Illumina	FALSE
ERR4969034	ERS5446102	Coronahit routine	-	LR963232	NORW-EC626	-	58e5885e1bf141da6615ee78a37f22414c85683d253a0374aab5fce1e19aac2e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bb233c0e2d73d24ae253ded92bbda6dea8f45ec83b09b19e4b7f8c91fcf4de99	NORW-EC626_CoronaHiT-ONT	FALSE
ERR4969097	ERS5446117	Coronahit routine	-	LR963231	NORW-EC644	-	49804632fe9d774351f8b78ac60258fc37852b4dbf61eff1a608f1e86a5f2f97	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cd7238d8564965ed78829782a3096fc39c1fbaedbad8c4cd2eaf5c28a9a5e598	NORW-EC644_ARTIC_LoCost	FALSE
ERR4970118	ERS5446117	Coronahit routine	-	LR963231	NORW-EC644	-	941c44aedd72395e98178b4f475b545bce9ebef8bb579cb6621a79b7776b5433	4111735067758e96586d5bb5d1bb2dab2839bb8ba04c65995ef26b22cbc97cb7	cd7238d8564965ed78829782a3096fc39c1fbaedbad8c4cd2eaf5c28a9a5e598	NORW-EC644_CoronaHiT-Illumina	FALSE
ERR4969032	ERS5446117	Coronahit routine	-	LR963231	NORW-EC644	-	c0131af0e3442f54e77aea16f289261f4ddc32286fddb383a548663c96af8345	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cd7238d8564965ed78829782a3096fc39c1fbaedbad8c4cd2eaf5c28a9a5e598	NORW-EC644_CoronaHiT-ONT	FALSE
ERR4969071	ERS5446083	Coronahit routine	-	LR963196	NORW-EC653	-	f8f10f4200da2d6932e463ff623b814250b733debeb3de33fb437efbe8e27e5f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	270afff75cf10d66e9eedcde9f955c19f0d70642c8d8a83c2092e05c16a130ac	NORW-EC653_ARTIC_LoCost	FALSE
ERR4970095	ERS5446083	Coronahit routine	-	LR963196	NORW-EC653	-	4aec34940ba3805da2283b3b3052520da75f83a213d153ffd8d597339319a80f	20ad257ecde570fa294d8c1537799ee955d946265ec8f2e90385acb93f25fa54	270afff75cf10d66e9eedcde9f955c19f0d70642c8d8a83c2092e05c16a130ac	NORW-EC653_CoronaHiT-Illumina	FALSE
ERR4968990	ERS5446083	Coronahit routine	-	LR963196	NORW-EC653	-	093717443591d66a3b315dabbc810c14ba21169d3bf0ad0f2fe91e1146f7b695	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	270afff75cf10d66e9eedcde9f955c19f0d70642c8d8a83c2092e05c16a130ac	NORW-EC653_CoronaHiT-ONT	FALSE
ERR4969096	ERS5446116	Coronahit routine	-	LR963230	NORW-EC662	-	83d77070ffa66c5ae27207f3646835c72aa6114cc93c44d2fb1a4053c106f495	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	39277ac162b0bdbdf12a5ce4f05c25dbf7d4573fc7cea10b91e74e9d853ed9ca	NORW-EC662_ARTIC_LoCost	FALSE
ERR4970126	ERS5446116	Coronahit routine	-	LR963230	NORW-EC662	-	40e8074523f1312e346a70e9a0aae303d122fdcf9682b08b6190e1143c121555	2c0de928b97228478076ad68986a919ee983da90c6383886594aa817c4c3d3d9	39277ac162b0bdbdf12a5ce4f05c25dbf7d4573fc7cea10b91e74e9d853ed9ca	NORW-EC662_CoronaHiT-Illumina	FALSE
ERR4969027	ERS5446116	Coronahit routine	-	LR963230	NORW-EC662	-	2778bee8653b49392f8748eab5003266e69355d7efcc95699b876a8352e5bb2a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	39277ac162b0bdbdf12a5ce4f05c25dbf7d4573fc7cea10b91e74e9d853ed9ca	NORW-EC662_CoronaHiT-ONT	FALSE
ERR4969117	ERS5446056	Coronahit routine	-	LR963184	NORW-EC671	-	87bad3b99548868331f255524101eb4cb4f2d43ab28081a2cdfd9b7785437c08	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bdadac0149438a786482a47f73872f6a5be48521ed2c29d7313245ad37c7c938	NORW-EC671_ARTIC_LoCost	FALSE
ERR4970073	ERS5446056	Coronahit routine	-	LR963184	NORW-EC671	-	3f694b3032024f310c83dd024f0d8803e124c61b4860857a72d1ef490d73d1b7	55b3d2a4b403e52f8940e0e453dcb817c84bc8c1af0acc59f04e247e5a0dc5db	bdadac0149438a786482a47f73872f6a5be48521ed2c29d7313245ad37c7c938	NORW-EC671_CoronaHiT-Illumina	FALSE
ERR4968969	ERS5446056	Coronahit routine	-	LR963184	NORW-EC671	-	9001235c8510c1707e9d8ebe876c58fa10f9811c5c8129fc82d083bea4488d01	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bdadac0149438a786482a47f73872f6a5be48521ed2c29d7313245ad37c7c938	NORW-EC671_CoronaHiT-ONT	FALSE
ERR4969128	ERS5446088	Coronahit routine	-	LR963188	NORW-EC680	-	00b6c63e88a2d3d8c7aade7436456f82596f4282919b657f6cd10b65f5ac7758	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9e1b735ecc46cc1f9223df7bc093653cb2b3f6b090f39134ebecbeff15eda16c	NORW-EC680_ARTIC_LoCost	FALSE
ERR4970090	ERS5446088	Coronahit routine	-	LR963188	NORW-EC680	-	56cac1ddf5e947c8e21368664a49b025a8d5bc2b1f49b096dd14ca3801d61059	b050a1633b1515ebe13597b52e1ee396c021c1a9871d75399f7bc5f5ba45e887	9e1b735ecc46cc1f9223df7bc093653cb2b3f6b090f39134ebecbeff15eda16c	NORW-EC680_CoronaHiT-Illumina	FALSE
ERR4968979	ERS5446088	Coronahit routine	-	LR963188	NORW-EC680	-	fc0d6e4ec51ea8a1e31e533219ea84779d71a446a807484ca0956cebb357e56a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9e1b735ecc46cc1f9223df7bc093653cb2b3f6b090f39134ebecbeff15eda16c	NORW-EC680_CoronaHiT-ONT	FALSE
ERR4969082	ERS5446087	Coronahit routine	-	LR963200	NORW-EC69F	-	b5e3e0a046303bcdc0fb2c9aba9f45cb59defc56da0d6517187778a2fc601243	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1a897f8a93100bc15c22bd52d611800e73572b79d757523c3650ca1260eb1953	NORW-EC69F_ARTIC_LoCost	FALSE
ERR4970100	ERS5446087	Coronahit routine	-	LR963200	NORW-EC69F	-	bb0fac621bb936936b7d2ba10338f60497cad00f2b1c5e388e3d4f5d9d9d42b4	3fd15c516faffe3e59e868f2c77c014ef871cd0b426093a0a3322b9109d73281	1a897f8a93100bc15c22bd52d611800e73572b79d757523c3650ca1260eb1953	NORW-EC69F_CoronaHiT-Illumina	FALSE
ERR4968982	ERS5446087	Coronahit routine	-	LR963200	NORW-EC69F	-	2373785ff58a63a147afaf830647692fbd4c42df2640baaaeeec56850f872cae	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1a897f8a93100bc15c22bd52d611800e73572b79d757523c3650ca1260eb1953	NORW-EC69F_CoronaHiT-ONT	FALSE
ERR4969103	ERS5446071	Coronahit routine	-	LR963190	NORW-EC6AE	-	75280889120debdc85fe527f6e7b3870fffb0cf3e40ed64e0d44a257cfd39acc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f22adf9eb8fef87705f0fc01160ff825a86b9b96e4a26f16a58d5e20ad790e55	NORW-EC6AE_ARTIC_LoCost	FALSE
ERR4970070	ERS5446071	Coronahit routine	-	LR963190	NORW-EC6AE	-	a43a812cdc86dfcbb186066e4e322444f6c89b67bd1a349cacc5d2d1d3c33aad	a38ceb5de2447cc6b87142748c6d843c4b0882e123cc42002b0be84a592f954a	f22adf9eb8fef87705f0fc01160ff825a86b9b96e4a26f16a58d5e20ad790e55	NORW-EC6AE_CoronaHiT-Illumina	FALSE
