Organism	Escherichia coli								
Outbreak	n/a								
pmid	PMC5217230								
tree	https://api.opentreeoflife.org/v3/study/ot_1226/tree/tree1.tre								
tree 2	https://api.opentreeoflife.org/v3/study/ot_1226/tree/tree2.tre								
source	Center for Biological Sequence Analysis, DTU Bioinformatics, Technical University of Denmark, Kongens Lyngby, Denmark								
dataType	In vitro evolution experiment								
intendedUse	phylogenomic pipeline validation								
Comment	"tree: true tree
tree 2: CSI inferred tree"								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN05290656	DTU-1_1_1_2		SRR3736551		Experimental evolution	FALSE		db4db5971830ce4dd6d79475ac9f81fec83e3e89dc6157c6300102b38863a150	41026871d5664f40aed9d68aec218e32c73a823a3d7467ff43036c31edcdb85f
SAMN05290657	DTU-1_1_1_2_1		SRR3736552		Experimental evolution	FALSE		4bb3ef46b328ba97792dc4ed114d24e75f545e465c5843e6898859a5c62e4a66	3d23bdb5c2c91cd63850e3cd8f2ea53ea06821cedd4c6bfa024d34c861bdf872
SAMN05290658	DTU-1_1_1_2_1_1_2		SRR3736553		Experimental evolution	FALSE		7940ee7c3330689d64fa6c35a02eb6bdc0fa67c5b7b660dea0e428c1059993c6	a83e726290ccf66e72ec009b9da7cd68d6e9bc76eb8f5338fff592a740ba91be
SAMN05290659	DTU-1_1_1_2_1_2		SRR3736554		Experimental evolution	FALSE		3a35d59c5b373f278c2b96492d78303e550481005534ce1c002bfdee2af6f12f	54462f783204965faa0db34e5409fbee9aba28612b0fa4825d6597deeecc65c9
SAMN05290660	DTU-1_1_1_2_2		SRR3736555		Experimental evolution	FALSE		1827fb26d35f006d65e8462390808b0b8730ca2baaaf5c1e23e9c223a71b9f17	f24ba61ec55dc0773f1554ff49bcde97e9b35323c361f7b5fe0d5fb30d6dfa55
SAMN05290661	DTU-1_1_1_2_2_1_1_1		SRR3736556		Experimental evolution	FALSE		c73a8f9f6900aa70134c9a462d9cedc4ce0bb07333fa0b379857a8786abb9063	8f440296780cc1605bafaefce9d0bb8cba8c2023bacd6350874f654e530e9dc6
SAMN05290662	DTU-1_1_1_2_2_1_2		SRR3736557		Experimental evolution	FALSE		5c80bd375964e9a33e885bf37867931a7f98f19fcba1fbde3c10d98219ed4f6a	ca90bfc995561b726694fcb0442922c2ab12f87b08c3901561abd136e62669df
SAMN05290663	DTU-1_1_2		SRR3736558		Experimental evolution	FALSE		76c1dc1161e405ab7242bb75eb74d6da66cc7c9877b4d6255141cb3cceb70f6d	9ee6ae6bc97fa70bde6372d183eb5a667d1ccbce536145d55e4048c91203ed3c
SAMN05290664	DTU-1_1_2_1		SRR3736559		Experimental evolution	FALSE		752cf21d505debaa4d4d324d76491d0111c33765c913e07a313a9f64fd2a14a8	b08b5ec28f0b93b2052a59700946ef123f50b4cdf49e8d914975502499ac5372
SAMN05290665	DTU-1_1_2_1_1		SRR3736560		Experimental evolution	FALSE		72c68f20cfa33fdd10eb933743c24996ee867649c625b94257ea58fc77e72bf3	4a638b3f106491e724306d813e17fbcd13fa9327b870ac82486f5a537ad166aa
