pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969123	ERS5446081	Coronahit routine	-	LR963197	NORW-EB2F6	-	18f72390e63f4894c87a107cc07a83c4bba5c72d134f21fceb05d8f3a58ebc96	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bb043dc6d1679a3c3098677e1a6270b014040075ea15a2e986cc5ae258d4e7d1	NORW-EB2F6_ARTIC_LoCost	FALSE
ERR4970103	ERS5446081	Coronahit routine	-	LR963197	NORW-EB2F6	-	e33c01c41721d4fb997037e9a8c8d90e0319fa175fcdfac1aa451be3206a3827	618b22acf1d2e9c7475d94032af72f3c9179bedd5736290057d816cce7e76c9e	bb043dc6d1679a3c3098677e1a6270b014040075ea15a2e986cc5ae258d4e7d1	NORW-EB2F6_CoronaHiT-Illumina	FALSE
ERR4968991	ERS5446081	Coronahit routine	-	LR963197	NORW-EB2F6	-	5380467e6c0a094eb5afaaf8f7aa47ff79b7d8ea58ac8cd59d119228a904161d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bb043dc6d1679a3c3098677e1a6270b014040075ea15a2e986cc5ae258d4e7d1	NORW-EB2F6_CoronaHiT-ONT	FALSE
ERR4969077	ERS5446054	Coronahit routine	-	LR963183	NORW-EB311	-	b409f1fb94678f207c699eaddf91b8c3f2e377e67d2c5cddc91898151ed93aba	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6ee22591e6c95d71db16ad2c1be2ec7c129d613030e5cee762e99761e17241d3	NORW-EB311_ARTIC_LoCost	FALSE
ERR4970084	ERS5446054	Coronahit routine	-	LR963183	NORW-EB311	-	ba9991509d20eea413f506864a98a38b5510c324017fd6ff91cdfac66c71f03b	aed0f9e7733684f26f57bf2fa71ebb9422d3d59d4fbf8ec1221dfa5bd5a08738	6ee22591e6c95d71db16ad2c1be2ec7c129d613030e5cee762e99761e17241d3	NORW-EB311_CoronaHiT-Illumina	FALSE
ERR4968960	ERS5446054	Coronahit routine	-	LR963183	NORW-EB311	-	7a4bc78c34892de31ade5519b103c5d57c65622343253621bf7d15f6e15ee9b2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6ee22591e6c95d71db16ad2c1be2ec7c129d613030e5cee762e99761e17241d3	NORW-EB311_CoronaHiT-ONT	FALSE
ERR4969074	ERS5446100	Coronahit routine	-	LR963170	NORW-EB320	-	ab2391277a567970a0741c73e9525cb7b77dffeb83b9b5ac5bba6b9b8ddcdcce	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	eda1233879a99b521e17abf2d4e52f994909eb4c93f0ac7a81e31f77e0a42ad0	NORW-EB320_ARTIC_LoCost	FALSE
ERR4970110	ERS5446100	Coronahit routine	-	LR963170	NORW-EB320	-	5d56b60f2579d711ccafc71ae03fd38949d7e8adb983407fafafbfe0c2734b91	b969cfbe168944c66c6753ea634ce399065a7068a17d6a1eb754a17bfdf36133	eda1233879a99b521e17abf2d4e52f994909eb4c93f0ac7a81e31f77e0a42ad0	NORW-EB320_CoronaHiT-Illumina	FALSE
ERR4968974	ERS5446100	Coronahit routine	-	LR963170	NORW-EB320	-	03209b6d76fd405db39ee071cba0e446680d4b476d2814f12ff40f37b277cfe4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	eda1233879a99b521e17abf2d4e52f994909eb4c93f0ac7a81e31f77e0a42ad0	NORW-EB320_CoronaHiT-ONT	FALSE
ERR4969106	ERS5446112	Coronahit routine	-	LR963195	NORW-EB33F	-	87b1accf0f1fbc8621c618a03411239ce19bf333e2d7ee9e7ec2a07a5b72ee97	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fa8956152b7c7011ae64d2c99d08b86015474ee8a160aa781ff1dd23ae78d4aa	NORW-EB33F_ARTIC_LoCost	FALSE
