Organism	Listeria monocytogenes								
Outbreak	1408MLGX6-3WGS								
pmid	25789745								
tree	http://api.opentreeoflife.org/v2/study/ot_301/tree/tree2.tre								
source									
dataType	empirical								
intendedUse	Epi-validated outbreak								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN02991393	MOD1_LS1009	GCA_001257595.1	SRR1553827	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	55db74ba5ce2f023291cde52dcae96c6c7b98294cde615ca5324f57f035f1ff6	7d77d60c2d0ef5e814e7cf0b165e40f036f439cd2e166a311672e3fa297f1588	efa698aed90db4982abcc455a5c3019fcaadd6d976e0fffde429286f45937b4f
SAMN02991394	MOD1_LS1011	GCA_001257585.1	SRR1553774	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	a9d2caffc93a3b1f131bea6b7f4e28903556e00ce5a0abe5360e6aac7ce31c05	2a931bad83e81d267692e462c730a84cf818e3f2ba73e6be2e79cc6795fe5bcf	bfab297d17730d25707ce935f283d90a699e74533f524249707190be7075063a
SAMN03002783	CFSAN023463	-	SRR1556288	1408MLGX6-3WGS	1408MLGX6-3WGS	TRUE	9a80c8d8ba782af57777f3e2bfd31337da2c5076b53d6c24efe215397065895b	842f602f7fbfa4a9adc360db6ae46fd9efac092fc7328ee604dde6b2a6a5a165	ac6a31c8b360116638ac0191e41aca13e731e7b1f101767a808d215bc172e6ab
SAMN03002784	CFSAN023464	-	SRR1556294	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	e0d9b4c076008a4e32e7c5a1c2fed8217a99d30d59551a1d54f5a084867518b0	b62fe30dec3fbfa095bb5e0443c48075c98ff61f6ff6b67846ffb3d6970f2606
SAMN03002785	CFSAN023465	GCA_001257575.1	SRR1556293	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	64ecd21a0592e7dd591b183a6147cd1712e727db7fd450e4976b0e887d56c2d2	8badf30807fc87d194440a0f8462fce93670540cd40fa689e6f047a648c11556	e4452f8e9c3ee7ba212b423c831c25b0eebee60c3753c9ea08883b171fbbac34
SAMN03002786	CFSAN023466	-	SRR1556289	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	3374532b6d038255a328c96c5aefabea303dc35bcb6bf7f11c24ac95942a37df	f797530e88ba7a3184c163f3571757283e691901aabcd96e72ddf0a83018b74c
SAMN03002787	CFSAN023467	-	SRR1556296	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	4d3381ebbbb064278a593536fd5607b35070410f163b20269a86525e49bf89d2	3a6b1d543ac9e278ed66c87b5dd26226571ac446c4dbfbea880305b074daa58d
SAMN03002788	CFSAN023468	GCA_001257495.1	SRR1556290	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	34dc27680dc7fd39fc287393a7cef0efecef049b44e575668abe334663cbad39	c63fc035ac4e52e0f6996faaed1582d28c3ad42e75b3d2eb7b46762ac6b5ff71	0d920a1bcc85b21178faad74082754661204ea9767f2dc8a31f453b79c8be0f0
SAMN03002789	CFSAN023469	-	SRR1556291	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	eca325cc61b4f1696f3617f3d16820cb92eff9d38d65cda0ef27c15a89e358b6	3b692d74db48c6c1626691562e1c2cdc160c1a4218e2a0d8ab0e5614f4d9282e
SAMN03002790	CFSAN023470	-	SRR1556297	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	163d578a8fa473a2ae2d63ad346b5dcba3a9fbcad6a15014f0b4df2c5c6d803b	bedd4cb6bef055465f6c2aaf3841d4f76000e6ec3465090b03f790403eb39496
SAMN03002791	CFSAN023471	-	SRR1556295	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	e0b3d5f804df8f6b12d8a975ab99f887afa93c4f0d93942b2f63718791527d66	656269ea0e9e8e982838b7be91256235f86ee083e2a80bfbee17170eb21567dc
SAMN03013698	PNUSAL000957	-	SRR1562157	outgroup	1408MLGX6-3WGS	FALSE	-	06cbffff5560d87222e91eb97575cf6839cde18e886a606c0b268fefe9cea7be	5b12189b4565f8358eb220309cece605f90b1777ccefe17dbeeb7c388fa671cb
SAMN03093481	PNUSAL001024	-	SRR1597487	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	549e0743f641366b779274093f7d4a804027863b61886d02b682c918b47a95cd	9f9e40fc612e1a4d4312110e74f6e762b414347d37ee2ad0025899710b49e1f3
